state,lat,lng,elevation,slope_deg,drainage_density,ndvi,ndwi,land_surface_temp,mineral_alteration_index,mn_ppm_soil,magnetic_anomaly_nt,distance_to_fault_km,distance_to_known_mine_km,geology_type,prospectivity_score
Odisha,21.5141,85.3311,818.9,6.6,2.45,0.625,-0.224,28.4,0.497,637.9,48.2,4.24,533.26,gondite_archean,0.41
Goa,15.1011,74.2868,284.5,27.3,1.15,0.236,0.215,26.9,0.536,801.0,-2.8,10.54,842.44,laterite,0.024
Odisha,21.5045,86.6353,146.2,5.8,2.21,0.412,-0.058,24.2,0.43,783.9,78.1,2.39,667.91,gondite_archean,0.518
Karnataka,18.4481,77.2466,773.1,15.1,2.35,0.174,-0.226,25.2,0.653,597.3,61.1,9.88,357.0,archean,0.338
Madhya Pradesh,22.2503,78.6164,373.8,3.9,2.98,0.226,-0.257,36.1,0.681,513.7,12.9,2.43,131.77,gondite_archean,0.365
Karnataka,14.6696,77.3817,509.2,33.1,0.32,0.452,0.051,36.7,0.532,541.3,18.1,16.72,742.89,archean,0.406
Odisha,21.6974,86.7659,625.8,15.9,0.33,0.702,-0.018,22.5,0.538,1170.9,31.1,0.53,680.23,gondite_archean,0.539
Madhya Pradesh,23.1771,78.0459,753.7,30.3,1.92,0.158,0.117,28.7,0.793,950.5,54.7,1.15,249.73,gondite_archean,0.529
Maharashtra,19.0109,80.3493,190.0,4.2,1.13,0.374,-0.171,31.4,0.5,767.8,63.3,9.36,250.94,gondite_archean,0.475
Maharashtra,20.7453,79.1219,179.7,10.3,2.53,0.738,-0.004,22.2,0.51,612.1,19.6,22.97,45.12,gondite_archean,0.521
Karnataka,17.9318,77.6221,704.3,21.6,1.95,0.533,0.077,30.9,0.573,725.1,84.9,14.14,389.5,archean,0.309
Karnataka,15.7105,76.6083,130.6,21.9,2.52,0.245,0.057,31.5,0.513,710.6,13.5,8.81,659.02,archean,0.339
Madhya Pradesh,23.2524,74.704,814.8,14.2,1.08,0.427,-0.066,35.8,0.536,867.1,47.2,21.37,508.42,gondite_archean,0.522
Odisha,21.2309,84.4609,759.3,1.2,1.78,0.354,-0.106,32.3,0.599,991.4,27.2,5.86,447.33,gondite_archean,0.547
Karnataka,12.0757,76.7272,629.2,21.1,2.26,0.493,-0.26,23.9,0.334,793.2,25.5,6.47,1039.87,archean,0.349
Karnataka,16.6828,77.0751,366.3,26.7,2.02,0.532,0.032,22.2,0.408,956.2,-9.0,1.82,540.03,archean,0.438
Karnataka,15.0977,75.6843,511.9,6.6,2.94,0.215,0.259,36.6,0.732,699.9,78.7,3.33,763.08,archean,0.405
Karnataka,15.7585,76.4925,563.6,10.7,1.23,0.2,-0.269,26.1,0.369,835.8,27.7,2.92,659.09,archean,0.447
Karnataka,14.4827,76.7572,191.6,34.9,1.39,0.359,0.126,27.8,0.499,909.5,14.6,14.97,781.36,archean,0.412
Maharashtra,19.5293,78.7906,353.0,34.2,0.92,0.424,-0.282,28.4,0.63,798.3,71.8,6.34,182.9,gondite_archean,0.554
Odisha,20.445,85.5144,860.5,30.2,0.84,0.282,-0.179,36.8,0.609,885.5,40.9,4.99,573.41,gondite_archean,0.356
Odisha,21.0151,83.6067,205.4,31.1,2.3,0.404,0.01,27.9,0.659,920.3,58.1,1.83,365.32,gondite_archean,0.604
Karnataka,15.054,75.8232,704.0,12.2,0.59,0.389,0.288,25.6,0.377,1057.8,28.2,9.69,760.62,archean,0.369
Karnataka,17.6687,75.6557,169.0,32.8,1.26,0.496,0.175,27.2,0.436,742.9,9.8,13.34,528.69,archean,0.353
Odisha,21.6522,86.8015,522.2,19.4,1.49,0.346,-0.015,31.6,0.811,694.7,32.6,26.11,684.12,gondite_archean,0.533
Karnataka,15.907,77.3392,860.5,9.3,2.29,0.462,-0.139,34.4,0.758,788.5,23.5,7.69,611.49,archean,0.319
Karnataka,13.2894,78.3466,509.2,26.0,1.35,0.363,-0.056,28.5,0.763,1072.0,0.8,5.48,877.61,archean,0.438
Odisha,19.8784,86.7643,584.0,23.4,1.33,0.695,0.083,34.3,0.608,756.9,46.4,1.51,716.74,gondite_archean,0.56
Odisha,20.3569,84.4482,784.3,2.1,0.41,0.314,-0.18,25.7,0.595,1055.5,38.1,4.19,470.99,gondite_archean,0.517
Odisha,21.5284,85.9573,676.7,25.8,0.2,0.722,0.189,36.5,0.612,860.2,44.5,25.73,597.76,gondite_archean,0.499
Maharashtra,20.4264,80.3913,454.3,21.4,1.53,0.71,-0.254,30.0,0.682,910.6,59.2,22.78,113.02,gondite_archean,0.584
Odisha,20.7071,83.5821,363.5,19.3,2.75,0.658,-0.224,23.5,0.665,1265.2,50.4,20.98,372.91,gondite_archean,0.56
Karnataka,17.787,76.0358,689.5,17.2,0.54,0.707,-0.028,33.8,0.51,655.5,28.6,9.37,492.26,archean,0.368
Karnataka,16.5207,77.2945,663.1,17.7,2.76,0.444,-0.03,25.2,0.501,646.9,-4.3,2.9,548.32,archean,0.418
Maharashtra,19.8181,78.9844,235.2,27.3,0.56,0.422,0.004,33.0,0.698,878.6,37.4,2.63,148.51,gondite_archean,0.535
Odisha,20.3675,84.5842,517.5,23.6,1.27,0.582,-0.098,26.6,0.509,787.3,34.6,22.91,483.87,gondite_archean,0.438
Maharashtra,19.2203,80.1926,685.8,21.8,2.5,0.392,-0.167,30.2,0.774,1234.5,53.9,18.6,224.07,gondite_archean,0.576
Andhra Pradesh,18.7021,84.3869,178.8,10.0,1.59,0.658,0.003,34.0,0.421,389.7,-1.8,3.46,557.84,kodurite_archean,0.304
Odisha,20.5496,85.9791,394.3,19.9,0.48,0.633,-0.078,32.4,0.455,916.1,45.2,4.48,617.11,gondite_archean,0.583
Odisha,22.3269,86.1427,266.4,12.5,2.47,0.567,0.159,29.1,0.466,1079.7,52.5,29.84,617.22,gondite_archean,0.442
Karnataka,14.9963,77.196,533.2,29.7,2.33,0.185,0.299,34.0,0.565,840.2,49.9,1.8,712.91,archean,0.407
Odisha,21.8644,86.4242,230.1,30.0,2.12,0.462,0.198,28.7,0.486,603.7,120.3,13.1,644.52,gondite_archean,0.581
Maharashtra,20.4534,80.0616,253.4,2.7,2.65,0.195,-0.152,33.1,0.678,732.6,55.2,3.77,90.44,gondite_archean,0.428
Madhya Pradesh,24.0681,81.2999,312.8,16.7,1.74,0.719,0.299,25.8,0.468,1066.9,16.0,0.18,277.05,gondite_archean,0.351
Maharashtra,19.735,79.6198,340.7,6.7,1.34,0.289,0.021,25.2,0.413,786.0,67.5,0.94,159.59,gondite_archean,0.561
Karnataka,12.4607,76.8927,311.5,18.9,1.65,0.705,0.029,31.3,0.588,635.2,10.6,14.87,994.05,archean,0.463
Karnataka,17.3863,77.7916,251.1,24.8,1.01,0.328,-0.122,33.6,0.421,767.5,22.5,3.82,440.12,archean,0.365
Karnataka,12.2897,78.3823,672.9,12.0,1.09,0.419,0.076,24.3,0.561,601.1,11.6,16.4,988.09,archean,0.286
Maharashtra,19.8543,79.8674,115.7,26.0,1.56,0.638,0.273,36.8,0.563,958.7,24.9,9.37,148.04,gondite_archean,0.403
Goa,15.1656,74.2591,752.1,34.3,2.66,0.318,-0.236,23.8,0.539,117.6,10.2,0.35,838.46,laterite,0.051
Karnataka,13.1647,77.0883,471.4,17.8,1.4,0.724,-0.171,30.3,0.568,990.5,24.2,4.98,912.99,archean,0.507
Odisha,21.327,84.5087,228.2,19.5,1.69,0.196,0.119,32.0,0.544,507.1,44.4,4.03,450.71,gondite_archean,0.562
Karnataka,15.9676,78.2564,637.4,3.5,1.49,0.684,-0.243,37.8,0.498,777.8,22.0,4.65,582.92,archean,0.501
Madhya Pradesh,23.7107,74.2703,574.5,7.3,1.17,0.359,-0.019,27.3,0.556,676.5,73.2,14.02,571.31,gondite_archean,0.585
Odisha,21.0143,85.9398,569.5,29.3,0.4,0.564,0.02,28.1,0.698,474.9,38.2,13.93,602.6,gondite_archean,0.548
Karnataka,12.6656,74.746,141.1,13.9,1.14,0.581,0.146,22.8,0.433,480.9,0.2,1.15,1050.3,archean,0.376
Goa,15.6434,73.8903,425.3,13.1,2.41,0.456,-0.223,33.8,0.261,290.4,8.5,3.36,821.94,laterite,0.039
Odisha,20.6955,83.5671,718.0,6.8,0.32,0.542,0.164,35.0,0.386,773.6,60.7,2.26,371.88,gondite_archean,0.58
Goa,15.0835,74.2913,788.2,24.4,2.83,0.583,-0.186,29.1,0.419,284.6,-7.2,3.21,843.74,laterite,0.289
Madhya Pradesh,24.0527,74.3807,408.4,6.4,2.15,0.213,0.099,26.6,0.555,711.9,38.0,5.56,581.2,gondite_archean,0.445
Karnataka,12.8591,76.0056,637.8,27.6,1.69,0.504,-0.18,26.6,0.461,526.7,31.5,6.62,978.39,archean,0.299
Goa,15.1565,74.1208,753.8,20.0,0.91,0.308,-0.276,26.9,0.525,226.2,3.8,9.58,848.22,laterite,0.267
Karnataka,13.0394,76.0926,564.0,33.2,0.39,0.454,-0.103,30.1,0.546,919.4,-15.3,2.83,956.35,archean,0.385
Karnataka,17.4312,78.3689,450.9,14.4,2.57,0.406,0.031,25.7,0.546,994.4,43.1,1.94,420.38,archean,0.494
Maharashtra,21.0001,79.1922,238.1,1.1,1.46,0.361,0.033,25.0,0.509,905.2,35.7,5.53,19.75,gondite_archean,0.466
Odisha,20.3156,84.094,674.8,27.2,1.49,0.578,0.142,24.2,0.493,674.4,33.3,12.22,438.38,gondite_archean,0.582
Maharashtra,20.5115,79.8727,114.7,11.6,1.99,0.156,-0.28,35.6,0.424,957.5,63.8,2.93,76.79,gondite_archean,0.572
Odisha,22.2983,84.7081,185.2,17.7,2.35,0.283,-0.138,25.9,0.65,806.8,52.8,11.45,469.94,gondite_archean,0.432
Jharkhand,22.3608,86.5321,371.0,7.0,1.38,0.626,-0.021,30.6,0.334,924.8,68.2,22.23,657.43,archean,0.394
Madhya Pradesh,23.6894,74.7137,268.9,18.1,0.26,0.302,0.01,22.2,0.572,433.9,57.2,8.29,531.06,gondite_archean,0.477
Karnataka,18.0473,77.6395,260.0,5.4,2.09,0.486,0.174,33.8,0.4,677.4,15.5,12.02,376.97,archean,0.418
Jharkhand,23.3936,86.1921,468.3,13.4,1.19,0.532,0.151,32.9,0.517,375.7,25.8,6.15,642.05,archean,0.468
Maharashtra,20.6532,79.3187,816.3,6.5,2.99,0.221,-0.291,36.2,0.659,597.7,47.0,38.23,60.14,gondite_archean,0.496
Odisha,21.6307,83.9039,425.4,29.8,1.23,0.505,0.002,32.3,0.689,823.7,17.8,6.58,385.14,gondite_archean,0.504
Karnataka,13.0071,77.8961,517.3,32.7,2.46,0.566,-0.297,28.8,0.454,492.9,-14.3,1.88,914.28,archean,0.375
Madhya Pradesh,21.3113,74.4653,397.8,25.5,1.75,0.404,0.039,27.8,0.647,843.9,25.3,2.81,479.66,gondite_archean,0.535
Maharashtra,19.2107,80.1237,675.1,25.8,0.48,0.581,0.108,35.3,0.438,706.5,58.9,3.97,223.41,gondite_archean,0.527
Andhra Pradesh,17.5004,82.837,124.3,12.2,2.74,0.208,0.064,29.2,0.268,410.0,23.8,7.62,527.51,kodurite_archean,0.29
Madhya Pradesh,21.3215,77.5601,899.6,29.4,2.7,0.644,-0.238,25.6,0.552,583.5,58.0,11.07,159.7,gondite_archean,0.546
Goa,15.0431,73.8061,629.1,10.8,0.91,0.349,-0.138,30.2,0.511,50.0,-16.1,2.32,878.98,laterite,0.263
Odisha,20.5484,86.0963,705.4,23.7,0.86,0.503,0.042,29.7,0.501,1377.3,81.1,0.93,628.99,gondite_archean,0.639
Maharashtra,19.3397,78.6333,880.9,33.5,0.37,0.416,-0.188,29.8,0.39,1040.2,-1.9,19.25,206.86,gondite_archean,0.508
Andhra Pradesh,18.3373,83.1496,334.7,2.1,2.48,0.42,-0.105,29.5,0.447,541.9,13.5,1.96,483.01,kodurite_archean,0.318
Karnataka,14.1639,75.2046,585.8,17.2,2.62,0.169,0.086,34.2,0.574,720.0,36.4,3.24,879.0,archean,0.41
Karnataka,12.0915,74.5278,292.1,4.4,0.93,0.256,-0.283,36.5,0.556,813.5,36.3,3.38,1118.13,archean,0.46
Goa,15.2332,74.0814,179.8,32.3,0.59,0.285,0.035,34.2,0.28,538.9,32.3,4.22,844.07,laterite,0.208
Madhya Pradesh,22.67,77.581,720.2,18.9,1.09,0.305,-0.277,31.3,0.494,695.7,71.3,11.16,229.78,gondite_archean,0.568
Karnataka,17.8114,78.2454,745.9,22.6,1.05,0.74,-0.136,25.2,0.44,642.7,30.3,6.51,381.65,archean,0.443
Madhya Pradesh,22.7396,74.2565,589.8,25.3,1.37,0.604,-0.164,25.5,0.512,567.3,45.8,3.86,528.88,gondite_archean,0.518
Madhya Pradesh,23.5229,75.9297,234.5,34.1,1.93,0.739,-0.097,33.2,0.473,610.7,-11.9,1.47,418.62,gondite_archean,0.478
Odisha,19.6072,85.9655,493.7,4.2,0.68,0.212,0.068,23.5,0.615,721.1,29.3,13.77,649.21,gondite_archean,0.47
Karnataka,17.5041,76.903,645.5,34.8,0.85,0.524,-0.024,22.6,0.624,1045.6,16.7,5.07,465.82,archean,0.456
Goa,15.3181,74.1125,723.9,27.7,1.65,0.665,-0.065,36.2,0.344,230.6,-26.4,2.11,834.59,laterite,0.172
Goa,15.6671,74.0768,592.9,17.1,1.3,0.699,-0.225,28.7,0.437,50.0,41.0,1.21,806.94,laterite,0.068
Karnataka,13.5757,75.2373,151.9,26.9,1.4,0.526,0.137,32.9,0.239,536.9,65.9,5.46,936.05,archean,0.325
Andhra Pradesh,18.8121,82.8411,209.0,22.4,1.04,0.161,0.233,25.6,0.491,579.8,-1.2,2.13,424.16,kodurite_archean,0.291
Madhya Pradesh,21.6023,76.4435,357.2,6.4,0.77,0.623,-0.2,22.5,0.587,792.2,18.9,6.76,278.61,gondite_archean,0.484
Goa,15.6272,74.1113,352.0,19.4,0.46,0.557,0.135,37.4,0.657,499.9,-5.3,2.43,807.96,laterite,0.286
Karnataka,14.1489,77.942,479.0,28.2,1.83,0.614,-0.1,35.3,0.562,314.8,25.6,3.06,787.92,archean,0.303
Odisha,22.401,84.0603,729.9,34.5,0.26,0.569,-0.148,22.6,0.639,750.5,39.2,5.57,405.3,gondite_archean,0.511
Andhra Pradesh,17.626,83.8631,644.1,23.7,2.84,0.644,-0.275,29.5,0.276,336.3,-37.4,4.53,591.99,kodurite_archean,0.193
Jharkhand,22.1773,86.8445,484.2,22.2,2.52,0.366,-0.042,28.6,0.6,620.9,24.5,0.83,688.37,archean,0.348
Madhya Pradesh,21.5029,78.179,105.8,11.8,2.1,0.44,0.287,36.0,0.509,753.6,33.3,49.38,102.2,gondite_archean,0.477
Odisha,21.6726,86.6781,288.5,31.9,1.07,0.736,-0.131,37.3,0.572,737.2,-6.9,2.02,671.28,gondite_archean,0.651
Maharashtra,19.477,79.6057,302.6,33.5,0.28,0.27,-0.155,28.6,0.554,463.7,48.1,6.94,188.31,gondite_archean,0.508
Odisha,21.582,84.0824,729.1,9.5,1.37,0.36,0.215,24.0,0.427,820.7,52.3,4.56,403.92,gondite_archean,0.513
Karnataka,18.0282,76.584,490.1,20.7,2.13,0.214,0.193,29.0,0.423,610.2,50.7,17.5,435.19,archean,0.391
Jharkhand,23.7354,85.0043,404.2,28.8,1.23,0.511,0.064,27.8,0.521,844.2,31.3,5.44,539.37,archean,0.432
Odisha,21.0392,86.3491,721.5,27.8,2.18,0.303,0.217,36.3,0.522,728.1,90.8,6.31,644.12,gondite_archean,0.565
Odisha,21.7365,85.2687,618.2,18.1,1.58,0.253,-0.133,24.5,0.503,637.7,81.7,1.34,525.51,gondite_archean,0.595
Maharashtra,20.963,78.9746,330.9,32.9,2.51,0.569,-0.251,28.7,0.401,830.1,92.6,3.17,23.99,gondite_archean,0.549
Maharashtra,21.1011,79.1472,770.9,4.5,2.55,0.242,-0.25,32.3,0.667,767.7,3.7,5.56,8.05,gondite_archean,0.477
Karnataka,14.2388,77.275,707.6,30.0,2.92,0.31,0.13,28.3,0.487,1062.1,-12.1,3.7,792.14,archean,0.385
Odisha,21.072,85.2677,520.2,34.1,2.75,0.247,-0.079,28.8,0.7,670.6,103.5,15.34,532.75,gondite_archean,0.592
Andhra Pradesh,17.6983,83.9278,448.3,11.0,0.34,0.442,-0.087,26.0,0.594,659.6,21.1,3.11,591.73,kodurite_archean,0.356
Odisha,19.527,84.3241,210.2,21.8,0.67,0.467,0.054,26.8,0.683,653.8,0.4,5.75,499.74,gondite_archean,0.335
Maharashtra,19.6838,78.7432,544.8,12.1,1.44,0.538,-0.004,31.9,0.76,841.4,46.1,9.09,167.0,gondite_archean,0.664
Andhra Pradesh,18.1484,83.3255,711.4,20.8,0.4,0.685,-0.282,34.0,0.485,391.7,-29.2,0.76,510.85,kodurite_archean,0.241
Madhya Pradesh,22.6766,74.8364,590.0,26.1,2.35,0.693,-0.054,37.2,0.511,927.6,32.8,4.11,470.46,gondite_archean,0.46
Madhya Pradesh,23.0419,79.9999,507.9,4.6,2.6,0.336,0.283,23.9,0.655,872.3,57.1,7.14,139.32,gondite_archean,0.535
Madhya Pradesh,23.959,76.3744,383.4,31.8,2.72,0.736,0.241,24.0,0.519,1022.9,38.0,6.46,418.69,gondite_archean,0.564
Madhya Pradesh,22.1261,74.6002,816.5,28.3,0.59,0.616,0.076,28.5,0.633,696.3,49.3,7.52,476.56,gondite_archean,0.637
Odisha,20.9218,84.178,266.7,23.5,2.75,0.392,-0.175,32.4,0.605,891.7,41.1,11.15,425.36,gondite_archean,0.574
Odisha,20.5448,84.8634,509.0,32.6,2.65,0.231,-0.196,27.7,0.659,478.4,63.2,5.96,505.25,gondite_archean,0.513
Odisha,21.0741,85.4428,694.0,8.5,1.23,0.368,0.276,29.1,0.657,945.0,50.8,17.98,550.63,gondite_archean,0.422
Karnataka,18.1433,75.3578,159.3,31.3,2.57,0.746,0.108,37.0,0.56,722.5,-20.3,21.81,514.28,archean,0.466
Karnataka,15.5023,76.2845,551.9,17.0,0.33,0.679,-0.033,31.4,0.618,456.6,12.8,1.6,694.25,archean,0.372
Odisha,21.8154,86.5626,591.3,7.4,1.0,0.436,0.273,26.0,0.508,1112.1,28.4,0.59,658.88,gondite_archean,0.413
Maharashtra,19.6083,79.9508,154.7,33.5,0.74,0.68,0.186,37.5,0.771,745.7,9.8,4.68,176.47,gondite_archean,0.5
Odisha,22.4461,83.8369,571.4,22.3,1.71,0.547,-0.23,30.9,0.592,753.9,57.9,2.1,383.47,gondite_archean,0.47
Karnataka,17.7708,77.275,415.7,13.7,1.48,0.256,0.08,27.8,0.572,779.8,-10.9,1.89,421.17,archean,0.458
Maharashtra,20.216,78.9495,256.1,6.6,2.38,0.287,0.016,29.2,0.68,822.1,34.8,0.12,104.88,gondite_archean,0.594
Karnataka,15.9403,76.7311,621.1,6.2,2.01,0.26,0.15,27.4,0.508,669.3,69.6,2.06,630.37,archean,0.387
Maharashtra,20.5769,79.6751,382.8,17.4,1.87,0.433,0.119,28.9,0.487,653.8,57.9,1.81,66.0,gondite_archean,0.577
Jharkhand,23.0048,86.834,665.4,25.6,0.44,0.282,-0.295,33.5,0.658,535.3,54.6,1.12,696.97,archean,0.393
Odisha,20.5226,84.9297,379.0,27.0,0.47,0.361,0.202,23.1,0.529,678.8,70.4,7.25,512.57,gondite_archean,0.473
Madhya Pradesh,23.6513,74.9438,766.6,25.0,1.82,0.684,0.12,25.2,0.532,222.2,48.2,5.65,508.91,gondite_archean,0.432
Odisha,22.2742,86.4814,519.4,8.8,0.54,0.368,-0.147,30.1,0.569,874.1,46.0,5.16,651.58,gondite_archean,0.559
Andhra Pradesh,18.2071,84.2373,333.3,5.4,2.59,0.502,0.233,37.0,0.47,375.3,52.9,12.62,582.33,kodurite_archean,0.218
Odisha,21.1704,85.9806,207.5,28.7,1.9,0.72,-0.096,23.7,0.456,782.7,42.4,3.68,604.2,gondite_archean,0.621
Odisha,21.3665,85.5483,324.7,31.9,1.05,0.42,0.026,23.6,0.538,904.7,33.5,7.33,557.13,gondite_archean,0.458
Karnataka,16.5145,74.7219,327.6,28.9,0.42,0.663,-0.245,35.4,0.673,344.2,18.6,3.0,690.54,archean,0.388
Karnataka,15.8269,77.6595,625.0,21.7,1.35,0.434,-0.051,35.5,0.384,775.3,90.4,2.57,610.8,archean,0.458
Maharashtra,20.4873,79.1496,120.3,26.5,0.8,0.651,-0.048,31.2,0.412,671.4,29.5,1.71,73.95,gondite_archean,0.609
Goa,15.1585,73.8129,116.2,22.2,2.05,0.337,-0.108,27.4,0.392,452.6,-8.4,0.67,868.54,laterite,0.238
Andhra Pradesh,18.7881,83.3071,661.9,19.9,2.59,0.339,0.014,29.8,0.565,450.7,10.3,6.88,464.95,kodurite_archean,0.256
Madhya Pradesh,21.6812,77.1257,857.3,9.4,2.07,0.594,-0.031,37.0,0.524,1117.0,82.9,7.18,211.74,gondite_archean,0.632
Andhra Pradesh,18.0353,83.0998,271.1,2.3,0.32,0.672,0.107,32.6,0.596,579.2,44.1,3.56,502.02,kodurite_archean,0.355
Goa,15.5589,73.9286,551.3,19.1,0.59,0.505,-0.111,22.8,0.458,514.2,18.7,3.53,826.38,laterite,0.288
Karnataka,16.3924,78.341,302.9,30.7,2.79,0.552,0.259,28.4,0.528,691.3,-44.3,6.69,534.87,archean,0.321
Odisha,20.9075,86.4089,112.4,10.3,0.21,0.399,0.137,34.8,0.577,894.8,44.5,11.94,652.62,gondite_archean,0.5
Madhya Pradesh,23.4347,81.3945,669.9,13.5,2.2,0.174,-0.068,28.5,0.605,603.8,65.6,22.14,220.41,gondite_archean,0.372
Odisha,21.6529,86.1424,171.2,30.3,2.48,0.17,-0.245,22.8,0.574,360.1,-4.7,19.41,616.07,gondite_archean,0.392
Karnataka,12.2961,75.7009,524.9,14.9,0.97,0.229,0.191,37.9,0.392,351.9,65.6,3.98,1048.42,archean,0.423
Goa,15.448,74.0252,617.3,33.4,2.42,0.174,-0.101,29.5,0.577,208.5,23.3,36.33,829.2,laterite,0.202
Odisha,22.125,86.1832,389.7,26.0,0.49,0.624,0.019,26.7,0.71,1055.3,84.8,16.74,620.09,gondite_archean,0.491
Goa,15.423,74.1769,451.4,26.4,0.77,0.373,0.081,22.3,0.533,522.9,-18.3,15.25,821.15,laterite,0.075
Maharashtra,19.7204,79.148,643.1,20.1,0.65,0.336,0.24,33.0,0.516,1185.0,60.9,15.41,159.08,gondite_archean,0.524
Odisha,21.3285,84.7874,432.5,29.3,1.07,0.716,-0.192,32.6,0.42,942.2,61.8,11.48,479.32,gondite_archean,0.514
Karnataka,15.4707,74.7467,267.0,17.5,0.44,0.656,0.131,37.1,0.563,691.6,82.2,30.17,780.25,archean,0.527
Madhya Pradesh,21.1078,79.7904,824.4,28.0,1.83,0.553,0.294,23.5,0.413,969.8,69.5,1.33,16.12,gondite_archean,0.712
Odisha,21.3649,83.9488,312.1,29.4,1.12,0.443,0.265,25.6,0.741,467.0,47.8,19.77,392.67,gondite_archean,0.498
Maharashtra,19.5708,78.5496,407.0,5.8,2.19,0.547,-0.274,35.4,0.509,467.9,18.9,4.66,184.41,gondite_archean,0.575
Odisha,20.7043,86.177,832.1,15.1,1.39,0.572,0.266,26.3,0.727,723.7,16.3,7.91,633.26,gondite_archean,0.518
Odisha,21.0306,85.3519,801.0,16.7,0.98,0.289,0.225,24.7,0.405,718.7,34.8,3.46,542.14,gondite_archean,0.552
Karnataka,17.5394,76.7151,674.3,31.5,2.72,0.347,0.271,22.4,0.619,608.5,5.1,2.88,472.49,archean,0.325
Madhya Pradesh,22.5342,79.8139,815.9,23.9,0.77,0.71,-0.141,24.4,0.576,609.3,11.7,7.42,89.92,gondite_archean,0.451
Andhra Pradesh,18.642,83.025,296.2,33.8,0.22,0.678,-0.18,37.2,0.381,119.9,34.2,3.06,451.1,kodurite_archean,0.378
Madhya Pradesh,23.5575,74.3387,109.0,16.6,0.57,0.549,-0.172,28.9,0.587,503.4,49.3,0.56,557.08,gondite_archean,0.459
Odisha,21.0266,85.127,861.3,33.1,2.38,0.511,-0.027,27.7,0.576,894.3,1.8,0.38,519.26,gondite_archean,0.517
Goa,15.251,74.0213,191.7,29.5,0.28,0.65,-0.216,36.2,0.35,522.9,-35.7,1.57,846.51,laterite,0.266
Andhra Pradesh,18.1053,83.2971,235.9,14.0,2.64,0.368,0.271,37.1,0.437,449.9,9.3,0.04,511.82,kodurite_archean,0.327
Odisha,21.2929,86.2974,206.7,4.8,2.78,0.601,0.054,34.3,0.743,696.2,5.0,10.45,635.16,gondite_archean,0.451
Karnataka,18.379,75.8979,837.4,32.7,0.88,0.629,-0.04,36.7,0.716,593.3,-9.7,1.78,454.41,archean,0.405
Karnataka,16.9107,76.9203,650.9,10.6,1.55,0.177,0.191,37.8,0.504,655.1,40.6,7.58,523.63,archean,0.324
Maharashtra,19.6347,80.0273,650.4,12.0,1.73,0.238,-0.028,36.1,0.7,725.7,6.5,6.96,175.19,gondite_archean,0.49
Karnataka,14.5912,74.9785,433.4,3.5,0.48,0.4,-0.117,36.8,0.681,530.3,75.3,2.41,849.08,archean,0.474
Goa,15.4241,74.2157,392.0,4.4,2.09,0.155,-0.015,25.1,0.461,429.1,42.9,5.67,818.48,laterite,0.21
Karnataka,18.0478,78.0599,728.6,11.1,1.73,0.284,-0.034,29.7,0.486,650.0,23.3,7.78,361.43,archean,0.391
Odisha,20.6985,86.9509,180.6,15.4,1.06,0.693,0.222,25.8,0.585,640.4,69.7,0.26,712.24,gondite_archean,0.482
Odisha,21.5591,84.2433,786.1,3.0,0.8,0.749,-0.04,33.2,0.61,541.5,15.2,14.12,420.7,gondite_archean,0.548
Madhya Pradesh,22.3619,78.4611,561.4,6.6,1.33,0.356,-0.059,34.2,0.645,774.4,21.4,12.37,149.59,gondite_archean,0.389
Madhya Pradesh,22.9146,74.4267,418.9,10.2,3.0,0.335,0.231,32.8,0.627,373.7,27.0,3.27,519.13,gondite_archean,0.391
Odisha,21.2947,86.4919,405.3,26.2,1.96,0.375,-0.215,33.3,0.613,947.1,41.4,11.3,655.16,gondite_archean,0.469
Odisha,22.015,85.4443,652.0,34.0,0.43,0.691,-0.224,28.3,0.869,814.9,59.3,1.04,543.59,gondite_archean,0.624
Andhra Pradesh,18.2219,83.4012,439.1,18.3,2.85,0.479,0.272,24.9,0.57,629.6,40.8,6.66,511.5,kodurite_archean,0.431
Andhra Pradesh,18.7325,82.7446,778.9,15.1,0.91,0.672,-0.041,34.9,0.357,507.9,-3.8,4.69,421.97,kodurite_archean,0.334
Odisha,20.36,86.2352,221.3,23.0,2.77,0.558,0.187,23.7,0.613,723.9,60.6,8.72,648.28,gondite_archean,0.614
Karnataka,12.2896,77.6378,643.0,17.1,2.72,0.352,-0.123,36.0,0.529,948.0,20.7,8.54,997.26,archean,0.388
Karnataka,17.4371,78.2998,744.5,13.8,2.41,0.361,-0.2,22.5,0.617,614.3,10.4,28.0,421.1,archean,0.318
Odisha,21.8573,84.6248,130.0,32.2,0.59,0.481,-0.136,23.0,0.303,740.7,56.5,19.33,458.83,gondite_archean,0.463
Maharashtra,21.2117,79.1393,404.9,21.9,1.95,0.439,-0.06,37.8,0.529,1034.9,14.9,0.84,8.56,gondite_archean,0.632
Karnataka,14.6193,74.5661,751.8,13.2,1.83,0.194,-0.195,36.2,0.584,685.9,48.1,52.64,869.58,archean,0.34
Madhya Pradesh,23.783,80.254,384.3,20.5,2.53,0.563,-0.287,27.4,0.511,670.4,20.9,7.68,220.63,gondite_archean,0.419
Madhya Pradesh,21.7639,75.3139,289.4,18.1,0.96,0.719,-0.022,22.9,0.453,1019.5,6.1,6.77,396.69,gondite_archean,0.56
Maharashtra,21.32,79.0223,367.9,16.8,2.8,0.691,-0.246,24.1,0.442,777.8,14.9,8.09,20.17,gondite_archean,0.522
